Papel;Segmento;Cotacao;FFO_Yield;Dividend_Yield;P_PER_VP;Valor_de_Mercado;Liquidez;Qtd_de_imoveis;Preco_do_m2;Aluguel_por_m2;Cap_Rate_PERC;Vacancia_Media
OUJP11;Híbrido;82,22;0,1463;0,1317;0,83;267.411.000;799.653;0;0;0;0;0
OULG11;Logística;28,94;0,1684;0,0894;0,45;71.808.400;62.429;2;962,68;210,44;0,2186;0
OURE11;Híbrido;77,51;0,1324;0,1242;0,84;83.485.000;242.508;8;3.019,42;162,15;0,0537;0
PATC11;Lajes Corporativas;35,2;0,0696;0,1385;0,86;122.406.000;235.724;4;15.724,80;1.361,51;0,0866;0
PATL11;Logística;60,31;0,1224;0,1116;0,61;301.039.000;575.655;4;1.939,47;291,15;0,1501;0
PEMA11;Títulos e Val. Mob.;33;0,2732;0,168;0,47;18.216.000;313;0;0;0;0;0
PLCA11;Títulos e Val. Mob.;76,8;0,2211;0,1457;0,81;42.779.100;119.797;0;0;0;0;0
PLCR11;Títulos e Val. Mob.;84,97;0,208;0,112;0,93;179.216.000;272.532;0;0;0;0;0
PLRI11;Títulos e Val. Mob.;11,51;-0,0639;0,1121;0,43;10.984.000;1.463;0;0;0;0;0
PMIS11;Títulos e Val. Mob.;9,22;0,037;0,0526;0,97;115.250.000;329.778;0;0;0;0;0
PNPR11;Híbrido;75,99;0,1251;0,0281;1;67.580.300;45.616;2;1.782,87;293,89;0,1648;0
PNRC11;Híbrido;106,36;0,0452;0,1438;1,06;43.618.200;207;3;11.048,00;0;0;0
PORD11;Títulos e Val. Mob.;8,93;0,1231;0,1219;0,93;332.944.000;531.539;0;0;0;0;0
PQAG11;Logística;59,46;0,0921;0,0867;1,04;831.958.000;6.622;1;13.183,70;1.163,59;0,0883;0
PQDP11;Shoppings;1.935,00;0,0969;0,0479;0,56;487.239.000;149.408;1;1.838,64;239,02;0,13;0,0185
PRSN11;Residencial;1,15;-0,2881;0;0,31;3.715.930;434;2;9.282,22;0;0;0
